##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	patagonia1_E1_L1_P1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	156508
Sequences flagged as poor quality	0
Sequence length	101
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1109	40-41	1.088148362863734
1109	42-43	1.1530190423794906
1109	44-45	1.4068782868316063
1109	46-47	1.471557008671141
1109	48-49	1.5675047491017793
1109	50-51	1.6323317886785205
1109	52-53	1.5613182755654051
1109	54-55	1.8121470167473817
1109	56-57	1.8050836478004868
1109	58-59	1.7308414526571099
1109	60-61	1.7725117872642784
1109	62-63	1.7685321629058635
1109	64-65	1.6210527270275108
1109	66-67	1.588050122404404
1109	68-69	1.6701466660639994
1109	70-71	1.6322803397414845
1109	72-73	1.3843522163452207
1109	74-75	1.4644956965921452
1109	76-77	1.3161465729034347
1109	78-79	1.223096887418727
1109	80-81	1.513403413862413
1109	82-83	1.513104947201498
1109	84-85	1.346004888312926
1109	86-87	1.3941091383599726
1109	88-89	1.6084408864215227
1109	90-91	1.5138981436788193
1109	92-93	1.1559021329525727
1109	94-95	1.345951267911996
1109	96-97	1.383688682026225
1109	98-99	1.2675698651549148
1109	100-101	1.1162807302340276
1110	1	0.2635088513134818
1110	2	0.29870655321808925
1110	3	0.04010608861962339
1110	4	0.024629152199715065
1110	5	0.2859488208219929
1110	6	0.23656018457607786
1110	7	0.1789385247382853
1110	8	0.3138082129366069
1110	9	0.34701183669412927
1110	10-11	-0.053205578543789045
1110	12-13	0.11159105363911692
1110	14-15	0.23237019924174263
1110	16-17	0.32312899719322985
1110	18-19	0.33039586103549823
1110	20-21	0.29759806367502506
1110	22-23	0.14269579401381094
1110	24-25	0.030282550100444894
1110	26-27	0.44679252383003387
1110	28-29	0.4825022595225761
1110	30-31	-0.09550081172565683
1110	32-33	-0.6186900889465079
1110	34-35	-0.6200407055351533
1110	36-37	-1.058749268765709
1110	38-39	-1.8396031228485583
